'Eternity Now for Men Eau de Toilette Calvin Klein', 'Eternity Now for Men Eau de Toilette Calvin Klein - Perfume Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/eternity-now-for-men-eau-de-toilette-calvin-klein-perfume-masculino/p'
'Pear Blossom Eau de Parfum Tommy Hilfiger', 'Pear Blossom Eau de Parfum Tommy Hilfiger - Perfume Feminino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/pear-blossom-eau-de-parfum-tommy-hilfiger-perfume-feminino/p'
'The One for Men Eau de Parfum Dolce & Gabbana', 'The One for Men Eau de Parfum Dolce & Gabbana - Perfume Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/the-one-for-men-eau-de-parfum-dolce-e-gabbana-perfume-masculino/p'
'BC Color Freeze Schwarzkopf Professional', 'BC Color Freeze Schwarzkopf Professional - Shampoo - Época Cosméticos', 'http://www.epocacosmeticos.com.br/bc-color-freeze-schwarzkopf-professional-shampoo/p'
'Rouge Interdit Vinyl Givenchy', 'Rouge Interdit Vinyl Givenchy - Batom - Época Cosméticos', 'http://www.epocacosmeticos.com.br/rouge-interdit-vinyl-givenchy-batom/p'
'Miniatura Givenchy Hydra Sparkling Eye Reviver Gel', 'Miniatura Givenchy Hydra Sparkling Eye Reviver Gel - Época Cosméticos', 'http://www.epocacosmeticos.com.br/miniatura-givenchy-hydra-sparkling-eye-reviver-gel/p'
'Brinde Carolina Herrera Bolsa 212 NYC', 'Brinde Carolina Herrera Bolsa 212 NYC - Época Cosméticos', 'http://www.epocacosmeticos.com.br/brinde-carolina-herrera-bolsa-212-nyc/p'
'Brinde Boucheron Necessaire Feminina', 'Brinde Boucheron Necessaire Feminina - Época Cosméticos', 'http://www.epocacosmeticos.com.br/brinde-boucheron-necessaire-feminina/p'
'Miniatura Burberry Brit Rhythm Women Floral EDT 5ml', 'Miniatura Burberry Brit Rhythm Women Floral EDT 5ml - Época Cosméticos', 'http://www.epocacosmeticos.com.br/miniatura-burberry-brit-rhythm-women-floral-edt-5ml/p'
'Aloe Shave Gel Clinique For Men', 'Aloe Shave Gel Clinique For Men - Gel de Barbear - Época Cosméticos', 'http://www.epocacosmeticos.com.br/aloe-shave-gel-clinique-for-men-gel-de-barbear/p'
'Dove Men Care Expert Shave', 'Dove Men Care Expert Shave - Smoothing Shave Cream - Kit de Creme para Barbear - Época Cosméticos', 'http://www.epocacosmeticos.com.br/dove-men-care-expert-shave-smoothing-shave-cream-kit-de-creme-para-barbear/p'
'For Men Maneuever Redken', 'For Men Maneuever Redken - Cera Modeladora - Época Cosméticos', 'http://www.epocacosmeticos.com.br/redken-for-men-maneuever-cera-modeladora/p'
'G.E.A.R. Deluxe Shaving Brush Tweezerman', 'G.E.A.R. Deluxe Shaving Brush Tweezerman - Pincel de Barbear - Época Cosméticos', 'http://www.epocacosmeticos.com.br/gear-deluxe-shaving-brush-tweezerman-pincel-de-barbear/p'
'Fahrenheit Cologne Dior', 'Fahrenheit Cologne Dior - Perfume Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/fahrenheit-cologne-dior-perfume-masculino/p'
'Tea Tree Shaping Cream Paul Mitchell', 'Tea Tree Shaping Cream Paul Mitchell - Cera Modeladora para os Cabelos - Época Cosméticos', 'http://www.epocacosmeticos.com.br/tea-tree-shaping-cream-paul-mitchell-cera-modeladora-para-os-cabelos/p'
'Brit Rhythm Burberry', 'Brit Rhythm Burberry - Desodorante Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/brit-rhythm-burberry-desodorante-masculino/p'
'Perfume Animale Animale For Men Animale', 'Perfume Animale Animale For Men Animale - Época Cosméticos', 'http://www.epocacosmeticos.com.br/animale-animale-for-men-eau-de-toilette-animale-perfume-masculino/p'
'CH Central Park Men Limited Edition Eau de Toilette Carolina Herrera', 'CH Central Park Men Limited Edition Eau de Toilette Carolina Herrera - Perfume Masculino - Época Cosméticos', 'http://www.epocacosmeticos.com.br/ch-central-park-men-limited-edition-eau-de-toilette-carolina-herrera-perfume-masculino/p'
